0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:03:21 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3408
0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:03:23 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3408
0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:03:24 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3408
0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:03:24 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3408
0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:03:54 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3328
0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:07:17 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3304
0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:20:38 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3564
0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:22:06 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3598
0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:23:03 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3467
0:0:0:0:0:0:0:1 - - [08/Oct/2017:20:24:03 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3533
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:03:11 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 4212
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:03:11 +0530] "GET /ShoppingFrontend/resources/images/vanilla.jpg HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:03:11 +0530] "GET /ShoppingFrontend/resources/images/redvelvet.jpg HTTP/1.1" 200 69178
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:03:11 +0530] "GET /ShoppingFrontend/resources/images/carrot.jpg HTTP/1.1" 200 80061
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:03:11 +0530] "GET /ShoppingFrontend/resources/images/cookiesncream.jpg HTTP/1.1" 200 35043
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:03:11 +0530] "GET /ShoppingFrontend/resources/images/banana.jpg HTTP/1.1" 200 52786
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:03:11 +0530] "GET /ShoppingFrontend/resources/images/lemonraspberry.jpg HTTP/1.1" 200 161585
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:03:52 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3896
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:03:52 +0530] "GET /ShoppingFrontend/resources/images/vanilla.jpg HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:03:52 +0530] "GET /ShoppingFrontend/resources/images/redvelvet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:03:52 +0530] "GET /ShoppingFrontend/resources/images/carrot.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:03:52 +0530] "GET /ShoppingFrontend/resources/images/cookiesncream.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:03:52 +0530] "GET /ShoppingFrontend/resources/images/banana.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:03:52 +0530] "GET /ShoppingFrontend/resources/images/lemonraspberry.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:04:49 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3897
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:04:50 +0530] "GET /ShoppingFrontend/resources/images/vanilla1.jpg HTTP/1.1" 200 57574
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:04:50 +0530] "GET /ShoppingFrontend/resources/images/redvelvet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:04:50 +0530] "GET /ShoppingFrontend/resources/images/carrot.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:04:50 +0530] "GET /ShoppingFrontend/resources/images/cookiesncream.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:04:50 +0530] "GET /ShoppingFrontend/resources/images/banana.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:04:50 +0530] "GET /ShoppingFrontend/resources/images/lemonraspberry.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2017:22:07:16 +0530] "GET /ShoppingFrontend/cupcake.jsp HTTP/1.1" 200 3927
